id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
198,STREET,823308.137,92623.235,33.2232,0.006770,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
199,STREET,823302.907,92625.705,33.2232,0.007060,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
200,STREET,823298.064,92625.922,33.2232,0.007547,191,1,601,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
201,STREET,824224.823,92910.286,27.4320,0.002109,175,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
202,STREET,824299.739,93016.827,27.4320,0.015593,100,1,420,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
203,STREET,823924.841,92484.205,32.3088,0.002724,261,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
204,STREET,823966.087,92543.334,32.3088,0.053487,6,1,400,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
205,STREET,824069.905,92698.832,28.9560,0.018723,207,1,573,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
206,STREET,824101.962,92743.638,28.9560,0.042944,207,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
207,STREET,824126.967,92778.109,27.1272,0.001728,100,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
208,STREET,824044.447,92656.794,29.2608,0.006770,171,1,573,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
209,STREET,824049.284,92664.205,29.2608,0.008354,171,1,573,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
210,STREET,824784.256,92553.883,35.9664,0.029190,82,1,518,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
211,STREET,824707.575,92569.335,34.7472,0.025838,212,1,518,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
212,STREET,824685.185,92576.775,34.1376,0.023797,3,1,518,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
213,STREET,823951.095,93342.619,28.3464,0.009230,88,1,612,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
214,STREET,823887.418,93389.082,28.3464,0.005140,88,1,571,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
215,STREET,823766.165,93477.936,30.4800,0.006436,252,1,507,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
216,STREET,823766.159,93477.940,30.4800,0.006436,252,1,507,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
217,STREET,823721.734,93510.495,32.9184,0.044273,216,1,497,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
218,STREET,824091.576,92558.069,32.0040,0.015715,237,1,469,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
219,STREET,824088.217,92559.191,32.0040,0.028636,6,1,469,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
220,STREET,823869.048,92635.533,30.1752,0.008857,221,1,572,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
221,STREET,823836.646,92647.121,29.8704,0.005788,223,1,459,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
222,STREET,823826.405,92651.581,29.8704,0.007346,223,1,459,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
223,STREET,823788.601,92668.686,29.5656,0.001365,6,1,459,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
224,STREET,823664.437,92738.531,30.7848,0.003600,81,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
225,STREET,823581.231,92790.735,30.1752,0.002533,223,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
